"Story","Title","Result","Date","Stability","Duration (s)"
"as a user I can navigate between the different services","full flow","SUCCESS","2026-05-26T00:18:55.1346461-05:00[America/Bogota]","0.0","175.77"
"as a user I can sign up in the platform for use the different services","sign up successful","SUCCESS","2026-05-26T00:24:38.8564289-05:00[America/Bogota]","0.0","2.13"
"as a user I can sign up in the platform for use the different services","sign up with empty fields - exception","SUCCESS","2026-05-26T00:25:05.5294147-05:00[America/Bogota]","0.0","1.72"
"as a user I can make different transactions as apply for a loan or pay bills","request loan with fields empty - exception","SUCCESS","2026-05-26T00:25:17.2459878-05:00[America/Bogota]","0.0","3.52"
"as a user I can transfer funds between my accounts","transfer successful","SUCCESS","2026-05-26T00:26:14.4341197-05:00[America/Bogota]","0.0","2.82"
"as user I can update my profile information for change outdated data","update profile information successful","SUCCESS","2026-05-26T00:27:00.0990864-05:00[America/Bogota]","0.0","2.17"
"as a user I can view my accounts information","View new account information","SUCCESS","2026-05-26T00:27:34.349288-05:00[America/Bogota]","0.0","2.09"
