"Story","Title","Result","Date","Stability","Duration (s)"
"as a user I can sign up in the platform for use the different services","sign up successful","SUCCESS","2026-05-26T00:24:38.8564289-05:00[America/Bogota]","0.0","2.13"
"as a user I can sign up in the platform for use the different services","log out successful","SUCCESS","2026-05-26T00:24:50.5002646-05:00[America/Bogota]","0.0","0.39"
"as a user I can sign up in the platform for use the different services","log in successful","SUCCESS","2026-05-26T00:24:56.8783762-05:00[America/Bogota]","0.0","0.24"
"as a user I can sign up in the platform for use the different services","sign up with empty fields - exception","SUCCESS","2026-05-26T00:25:05.5294147-05:00[America/Bogota]","0.0","1.72"
