"Story","Title","Result","Date","Stability","Duration (s)"
"as user I want to create financial account so I can manage my money","Create a new <accountType> account successfully","SUCCESS","2026-05-24T21:06:17.455262662-05:00[America/Bogota]","0.0","2.13"
"as user I want to create financial account so I can manage my money","Try to create an account without being logged in - exception","SUCCESS","2026-05-24T21:07:06.250385124-05:00[America/Bogota]","0.0","0.01"
"as user I can sign up in the platform for use the different services","sign up successful","SUCCESS","2026-05-24T21:07:13.705283157-05:00[America/Bogota]","0.0","1.74"
"as user I can sign up in the platform for use the different services","log out successful","SUCCESS","2026-05-24T21:07:27.588722796-05:00[America/Bogota]","0.0","0.76"
"as user I can sign up in the platform for use the different services","sign up with empty fields - exception","SUCCESS","2026-05-24T21:07:46.200012378-05:00[America/Bogota]","0.0","0.22"
"as user I can sign up in the platform for use the different services","log in successful","SUCCESS","2026-05-24T21:07:58.442308191-05:00[America/Bogota]","0.0","0.25"
"as user I can transfer funds between my accounts","transfer successful","SUCCESS","2026-05-24T21:08:23.647297921-05:00[America/Bogota]","0.0","1.85"
"as user I can transfer funds between my accounts","transfer with empty fields - exception","SUCCESS","2026-05-24T21:09:00.008129244-05:00[America/Bogota]","0.0","0.22"
