"Story","Title","Result","Date","Stability","Duration (s)"
"as a user I want to create financial account so I can manage my money","Try to create an account without being logged in - exception","SUCCESS","2026-05-26T00:24:33.3282637-05:00[America/Bogota]","0.0","0.01"
"as a user I can sign up in the platform for use the different services","log out successful","SUCCESS","2026-05-26T00:24:50.5002646-05:00[America/Bogota]","0.0","0.39"
"as a user I can sign up in the platform for use the different services","log in successful","SUCCESS","2026-05-26T00:24:56.8783762-05:00[America/Bogota]","0.0","0.24"
"as a user I can transfer funds between my accounts","transfer with empty fields - exception","SUCCESS","2026-05-26T00:26:49.2202201-05:00[America/Bogota]","0.0","0.2"
"as user I can update my profile information for change outdated data","update profile with empty field - exception","SUCCESS","2026-05-26T00:27:23.0178643-05:00[America/Bogota]","0.0","0.22"
"as a user I can view my accounts information","View default account information","SUCCESS","2026-05-26T00:28:09.2792412-05:00[America/Bogota]","0.0","0.2"
