"Story","Title","Result","Date","Stability","Duration (s)"
"as a user I can sign up in the platform for use the different services","log out successful","SUCCESS","2026-05-25T15:48:09.2796064-05:00[America/Bogota]","0.0","0.31"
"as a user I can sign up in the platform for use the different services","log in successful","SUCCESS","2026-05-25T15:48:16.5482902-05:00[America/Bogota]","0.0","0.2"
"as a user I can sign up in the platform for use the different services","sign up with empty fields - exception","SUCCESS","2026-05-25T15:48:25.6479372-05:00[America/Bogota]","0.0","0.2"
