"Story","Title","Result","Date","Stability","Duration (s)"
"as user I can update my profile information for change outdated data","update profile with empty <field> field - exception","SUCCESS","2026-05-25T12:33:45.195593-05:00[America/Bogota]","0.0","0.24"
"as user I can update my profile information for change outdated data","update profile information successful","SUCCESS","2026-05-25T13:09:37.624062-05:00[America/Bogota]","0.0","10.06"
"as user I can update my profile information for change outdated data","update profile with empty field - exception","SUCCESS","2026-05-25T13:10:16.915732-05:00[America/Bogota]","0.0","0.32"
