"Story","Title","Result","Date","Stability","Duration (s)"
"as a user I can navigate between the different services","full flow","SUCCESS","2026-05-24T23:42:49.7448493-05:00[America/Bogota]","0.0","5.03"
"as a user I want to create financial account so I can manage my money","Create a new <accountType> account successfully","SUCCESS","2026-05-24T23:43:51.414115-05:00[America/Bogota]","0.0","3.96"
"as a user I want to create financial account so I can manage my money","Try to create an account without being logged in - exception","SUCCESS","2026-05-24T23:44:47.0563933-05:00[America/Bogota]","0.0","0.03"
"as a user I can sign up in the platform for use the different services","sign up successful","SUCCESS","2026-05-24T23:44:52.9031429-05:00[America/Bogota]","0.0","2.94"
"as a user I can sign up in the platform for use the different services","log out successful","SUCCESS","2026-05-24T23:45:06.198494-05:00[America/Bogota]","0.0","0.29"
"as a user I can sign up in the platform for use the different services","log in successful","SUCCESS","2026-05-24T23:45:12.7906043-05:00[America/Bogota]","0.0","0.37"
"as a user I can sign up in the platform for use the different services","sign up with empty fields - exception","SUCCESS","2026-05-24T23:45:26.6698134-05:00[America/Bogota]","0.0","0.35"
"as a user I can transfer funds between my accounts","transfer successful","SUCCESS","2026-05-24T23:45:38.9630724-05:00[America/Bogota]","0.0","2.99"
"as a user I can transfer funds between my accounts","transfer with empty fields - exception","SUCCESS","2026-05-24T23:46:15.7084959-05:00[America/Bogota]","0.0","1.12"
